UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
MG;DIVINO;312200;JAN/2025;3/12;ESTRATO 2;BOM;BOM;11;7;7;7;7;0;0;0;R$ 112.000,00 ;R$ 42.000,00 ;R$ 42.000,00 ;R$ 0,00 ;R$ 196.000,00 ;R$ 0,00 
MG;DIVINO DAS LARANJEIRAS;312210;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;DIVINOLANDIA DE MINAS;312220;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;DIVINOPOLIS;312230;JAN/2025;3/12;ESTRATO 4;BOM;BOM;121;65;65;65;65;0;0;0;R$ 780.000,00 ;R$ 390.000,00 ;R$ 390.000,00 ;R$ 0,00 ;R$ 1.560.000,00 ;R$ 0,00 
MG;DIVISA ALEGRE;312235;JAN/2025;3/12;ESTRATO 2;BOM;BOM;3;3;3;3;3;0;0;0;R$ 48.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 84.000,00 ;R$ 0,00 
MG;DIVISA NOVA;312240;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;DIVISOPOLIS;312245;JAN/2025;3/12;ESTRATO 2;BOM;BOM;5;4;4;4;4;0;0;0;R$ 64.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 112.000,00 ;R$ 0,00 
MG;DOM BOSCO;312247;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;DOM CAVATI;312250;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;3;3;3;3;0;0;0;R$ 42.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 78.000,00 ;R$ 0,00 
MG;DOM JOAQUIM;312260;JAN/2025;3/12;ESTRATO 2;BOM;BOM;3;2;2;2;2;0;0;0;R$ 32.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 56.000,00 ;R$ 0,00 
MG;DOM SILVERIO;312270;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;DOM VICOSO;312280;JAN/2025;3/12;ESTRATO 3;BOM;BOM;2;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;DONA EUSEBIA;312290;JAN/2025;3/12;ESTRATO 4;BOM;BOM;3;3;3;3;3;0;0;0;R$ 36.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 72.000,00 ;R$ 0,00 
MG;DORES DE CAMPOS;312300;JAN/2025;3/12;ESTRATO 3;BOM;BOM;5;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
