CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2658852;UNIDADE BASICA DE SAUDE DR JOAO FELIX CUNHA PIUM;CENTRO DE SAUDE/UNIDADE BASICA;2442221;EQUIPE 0004 - EQUIPE RURAL CAF;eSF;PIUM;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;11;2;2;1;5;3;6;2;2;1;11;425;13;32,69
3739902;UNIDADE DE SAUDE NEUMA PEREIRA DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;2286238;EQUIPE NEUMA PEREIRA DOS SANTO;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;6;3;4;4;6;3;3;1;0;1;5;330;7;47,14
2560305;UNIDADE DE SAUDE DA FAMILIA VILA SAO MIGUEL;CENTRO DE SAUDE/UNIDADE BASICA;39101;EQUIPE 03 - VILA SAO MIGUEL;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;3;2;3;0;3;1;0;0;2;0;4;165;4;41,25
917168;UNIDADE DE SAUDE ENTRONCAMENTO DO JAU;CENTRO DE SAUDE/UNIDADE BASICA;2223287;EQUIPE - ENTRONCAMENTO JAU;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;7;4;4;3;5;5;4;1;0;2;5;367;7;52,43
2560291;UNIDADE DE SAUDE SETOR AEROPORTO PEIXE;CENTRO DE SAUDE/UNIDADE BASICA;39098;EQUIPE 02 - AEROPORTO;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;22;6;6;7;12;8;5;4;0;4;18;850;24;35,42
2486768;UNIDADE DE SAUDE DA FAMILIA SAO JOSE;CENTRO DE SAUDE/UNIDADE BASICA;39071;EQUIPE 01- SAO JOSE;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;11;3;4;4;8;6;3;0;1;2;13;506;15;33,73
2597500;UNIDADE DE SAUDE DA FAMILIA VILA QUIXABA;CENTRO DE SAUDE/UNIDADE BASICA;39128;EQUIPE 04 - VILA QUIXABA;eSF;PEIXE;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;6;2;3;4;3;2;4;1;1;0;6;294;8;36,75
9961976;UNIDADE BASICA DE SAUDE NEY LUZ E SILVA;CENTRO DE SAUDE/UNIDADE BASICA;2108429;ESF NEY LUZ E SILVA 029;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;19;2;3;2;8;9;5;1;0;2;7;541;23;23,52
2546507;UNIDADE DE SAUDE DA FAMILIA PARQUE DAS ACACIAS;CENTRO DE SAUDE/UNIDADE BASICA;2240106;ESF MORADA DO SOL 033;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;6;6;1;4;6;0;1;1;0;5;370;11;33,64
2546434;UNIDADE BASICA DE SAUDE ULISSES MOREIRA MILHOMEM;CENTRO DE SAUDE/UNIDADE BASICA;1695673;ESF PEDROSO 025;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;6;6;5;5;8;2;1;1;2;12;532;16;33,25
6646271;UNIDADE DE SAUDE DA FAMILIA BELA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;2296292;BELA VISTA;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;18;5;9;9;9;11;5;1;4;2;16;819;20;40,95
2546418;UNIDADE DE SAUDE VILA IRIS;CENTRO DE SAUDE/UNIDADE BASICA;37915;ESF MALVINAS 001;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;13;7;9;9;7;9;6;0;6;2;5;670;15;44,67
2546450;UNIDADE DE SAUDE DA FAMILIA SEVILHA;CENTRO DE SAUDE/UNIDADE BASICA;38008;ESF SEVILHA 003;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;21;8;13;11;6;10;10;2;4;2;12;912;25;36,48
2546434;UNIDADE BASICA DE SAUDE ULISSES MOREIRA MILHOMEM;CENTRO DE SAUDE/UNIDADE BASICA;37974;ESF PEDROSO 019;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;9;1;4;4;3;5;6;0;1;0;8;378;10;37,8
2546426;UNIDADE DE SAUDE DA FAMILIA SOL NASCENTE;CENTRO DE SAUDE/UNIDADE BASICA;37931;ESF SOL NASCENTE 005;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;6;5;9;0;5;7;1;0;3;4;10;456;12;38
6646271;UNIDADE DE SAUDE DA FAMILIA BELA VISTA;CENTRO DE SAUDE/UNIDADE BASICA;38105;ESF BELA VISTA 020;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;15;3;4;3;2;6;1;1;3;1;8;438;15;29,2
109347;UNIDADE DE SAUDE FRANCISCO NOGUEIRA LIMA;CENTRO DE SAUDE/UNIDADE BASICA;2226758;ESF CAMPO BELLO 032;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;25;11;14;0;8;12;15;6;5;1;20;1078;28;38,5
2546485;UNIDADE DE SAUDE DA FAMILIA SAO JOSE;CENTRO DE SAUDE/UNIDADE BASICA;38059;ESF SAO JOSE 013;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;15;7;8;6;10;7;6;1;2;3;10;690;16;43,13
7023138;UNIDADE DE SAUDE DA FAMILIA JOAO MANOEL DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;38113;ESF JOAO MANOEL DOS SANTOS 007;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;17;9;10;9;7;5;14;0;6;3;13;854;20;42,7
2546434;UNIDADE BASICA DE SAUDE ULISSES MOREIRA MILHOMEM;CENTRO DE SAUDE/UNIDADE BASICA;37982;ESF PEDROSO 016;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;18;5;8;5;9;8;5;0;4;3;15;738;19;38,84
9320385;UNIDADE BASICA DE SAUDE CLARA MOTA E SILVA;CENTRO DE SAUDE/UNIDADE BASICA;1632442;ESF CLARA MOTA E SILVA 024;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;12;3;4;4;6;3;8;1;1;1;6;453;13;34,85
2546477;UNIDADE DE SAUDE DA FAMILIA WALDIR LINS;CENTRO DE SAUDE/UNIDADE BASICA;38032;ESF WALDIR LINS 017;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;11;5;4;4;2;4;4;0;2;2;7;416;12;34,67
2546507;UNIDADE DE SAUDE DA FAMILIA PARQUE DAS ACACIAS;CENTRO DE SAUDE/UNIDADE BASICA;38075;ESF PARQUE DAS ACACIAS 012;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;16;9;11;1;11;11;4;5;7;5;9;817;20;40,85
3545520;UNIDADE BASICA DE SAUDE ROSENDO BARBOSA DE ARAUJO;CENTRO DE SAUDE/UNIDADE BASICA;2296284;ROSENDO BARBOSA;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;21;7;7;7;5;9;13;0;6;0;12;804;23;34,96
2546469;UNIDADE DE SAUDE DA FAMILIA VILA NOVA;CENTRO DE SAUDE/UNIDADE BASICA;2298783;EQUIPE DA SAUDE DA FAMILIA;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;7;1;3;3;1;3;4;0;1;0;4;250;7;35,71
3545520;UNIDADE BASICA DE SAUDE ROSENDO BARBOSA DE ARAUJO;CENTRO DE SAUDE/UNIDADE BASICA;38091;ESF ROSENDO 011;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;16;8;8;7;10;11;14;0;1;2;16;853;19;44,89
109347;UNIDADE DE SAUDE FRANCISCO NOGUEIRA LIMA;CENTRO DE SAUDE/UNIDADE BASICA;1715097;ESF CAMPO BELLO 028;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;26;9;11;1;9;10;7;2;6;5;17;953;28;34,04
9961976;UNIDADE BASICA DE SAUDE NEY LUZ E SILVA;CENTRO DE SAUDE/UNIDADE BASICA;37907;ESF NOVA FRONTEIRA 018;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;25;6;6;6;6;10;13;1;3;1;18;880;30;29,33
9320385;UNIDADE BASICA DE SAUDE CLARA MOTA E SILVA;CENTRO DE SAUDE/UNIDADE BASICA;2204002;ESF BURITIS 031;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;23;7;7;7;8;7;6;0;5;1;9;743;23;32,3
2546418;UNIDADE DE SAUDE VILA IRIS;CENTRO DE SAUDE/UNIDADE BASICA;37923;ESF MALVINAS 015;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;3;6;6;4;6;4;0;3;1;11;496;14;35,43
