CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A 1ª CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O), ATÉ O 30º DIA DE VIDA ;TER PELO MENOS 09 CONSULTAS POR MÉDICA(O) OU ENFERMEIRA(O) ATÉ DOIS ANOS DE VIDA ;TER PELO MENOS 09 REGISTROS DE PESO E ALTURA ATÉ OS DOIS ANOS DE VIDA;TER RECEBIDO PELO MENOS 02 VISITAS DOMICILIARES REALIZADAS POR ACS/TACS, SENDO A PRIMEIRA ATÉ OS PRIMEIROS 30 DIAS DE VIDA E A SEGUNDA ATÉ OS 06 MESES DE VIDA;TER SIDO VACINADA CONTRA DIFTERIA, TÉTANO, COQUELUCHE, HEPATITE B, INFECÇÕES CAUSADAS POR HAEMOPHILUS INFLUENZAE TIPO B, POLIOMIELITE, SARAMPO, CAXUMBA E RUBÉOLA, COM TODAS AS DOSES RECOMENDADAS;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;NÚMERO TOTAL DE CRIANÇAS DE ATÉ 2 ANOS VINCULADAS À EQUIPE;PONTUAÇÃO
2486857;CENTRO DE SAUDE OLAVO RODRIGUES DE MATOS;CENTRO DE SAUDE/UNIDADE BASICA;1468782;EQUIPE 02;eSF;FIGUEIRÓPOLIS;ILHA DO BANANAL;Abril;Desenvolvimento Infantil;2;0;1;0;3;120;12;10
2486806;UNIDADE BASICA DE SAUDE DOMINGOS FERREIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;38210;EQUIPE 01;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;14;7;6;12;13;1040;43;24,19
2486814;UNIDADE DE SAUDE LOURENCO NEVES CARDOSO;CENTRO DE SAUDE/UNIDADE BASICA;38229;EQUIPE 02;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;2;2;4;0;5;260;12;21,67
9078835;UNIDADE BASICA DE SAUDE NELCINDO JOAO CALLAI;CENTRO DE SAUDE/UNIDADE BASICA;37575;EQUIPE 01;eSF;FIGUEIRÓPOLIS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;12;1;11;3;8;700;73;9,59
2486857;CENTRO DE SAUDE OLAVO RODRIGUES DE MATOS;CENTRO DE SAUDE/UNIDADE BASICA;1468782;EQUIPE 02;eSF;FIGUEIRÓPOLIS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;1;0;3;0;3;140;14;10
2546701;UNIDADE SAUDE DA FAMILIA SAO JOSE RURAL;CENTRO DE SAUDE/UNIDADE BASICA;37672;SETOR SAO JOSE I;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;13;2;1;8;13;740;37;20
2468247;UNIDADE SAUDE DA FAMILIA SETOR ALIANCA;CENTRO DE SAUDE/UNIDADE BASICA;2423979;ESF ALIANCA II;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;7;1;0;2;5;300;27;11,11
688010;UNIDADE DA SAUDE DA FAMILIA SETOR AEROPORTO;CENTRO DE SAUDE/UNIDADE BASICA;2231476;ESF AEROPORTO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;2;1;0;3;5;220;16;13,75
2468247;UNIDADE SAUDE DA FAMILIA SETOR ALIANCA;CENTRO DE SAUDE/UNIDADE BASICA;37613;USF-SETOR ALIANCA;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;13;2;2;9;10;720;39;18,46
7065310;UNIDADE DE SAUDE FAMILIA SAO JOSE II IRACY GOMES DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;37699;SETOR SAO JOSE II;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;4;2;0;10;12;560;48;11,67
2546728;UNIDADE SAUDE DA FAMILIA SETOR PLANALTO;CENTRO DE SAUDE/UNIDADE BASICA;37656;SETOR PLANALTO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;11;0;0;1;11;460;47;9,79
2546698;UNIDADE SAUDE DA FAMILIA CENTRO;CENTRO DE SAUDE/UNIDADE BASICA;37664;CENTRO I;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;15;2;1;5;11;680;46;14,78
2546698;UNIDADE SAUDE DA FAMILIA CENTRO;CENTRO DE SAUDE/UNIDADE BASICA;37621;CENTRO;eSF;FORMOSO DO ARAGUAIA;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;7;5;1;11;10;680;28;24,29
2486806;UNIDADE BASICA DE SAUDE DOMINGOS FERREIRA DE SOUZA;CENTRO DE SAUDE/UNIDADE BASICA;38210;EQUIPE 01;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;14;7;6;12;13;1040;43;24,19
2486814;UNIDADE DE SAUDE LOURENCO NEVES CARDOSO;CENTRO DE SAUDE/UNIDADE BASICA;38229;EQUIPE 02;eSF;JAÚ DO TOCANTINS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;2;2;4;0;5;260;12;21,67
2468654;UNIDADE BASICA DE SAUDE TEREZINHA DE JESUS STA RITA;CENTRO DE SAUDE/UNIDADE BASICA;39713;EQUIPE URBANA;eSF;SANTA RITA DO TOCANTINS;ILHA DO BANANAL;Agosto;Desenvolvimento Infantil;16;19;11;11;14;1420;55;25,82
